Country,Confirmed,Deaths,Recovered,TotalDeath,Active,Newcases,Newdeaths,Newrecovered,Deathrate,Recoveredrate,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,Region
Kuwait,64379,438,55057,38339,8884,606,5,684,0.68,85.52,0.8,59763,4616,7.72,Mediterranean
Azerbaijan,30446,423,23242,211144,6781,396,6,558,1.39,76.34,1.82,27890,2556,9.16,Europe
El Salvador,15035,408,7778,342732,6849,405,8,130,2.71,51.73,5.25,12207,2828,23.17,Americas
Oman,77058,393,57028,38339,19637,1053,9,1729,0.51,74.01,0.69,68400,8658,12.66,Mediterranean
Cameroon,17110,391,14539,12223,2180,402,6,0,2.29,84.97,2.69,16157,953,5.9,Africa
Czechia,15516,373,11428,211144,3715,192,2,0,2.4,73.65,3.26,14098,1418,10.06,Europe
Bulgaria,10621,347,5585,211144,4689,194,7,230,3.27,52.58,6.21,8929,1692,18.95,Europe
United Arab Emirates,59177,345,52510,38339,6322,264,1,328,0.58,88.73,0.66,57193,1984,3.47,Mediterranean
Finland,7398,329,6920,211144,149,5,0,0,4.45,93.54,4.75,7340,58,0.79,Europe
Morocco,20887,316,16553,38339,4018,609,3,115,1.51,79.25,1.91,17562,3325,18.93,Mediterranean
South Korea,14203,300,13007,8249,896,28,1,102,2.11,91.58,2.31,13816,387,2.8,Pacific
Bosnia and Herzegovina,10498,294,4930,211144,5274,731,14,375,2.8,46.96,5.96,8479,2019,23.81,Europe
Kenya,17975,285,7833,12223,9857,372,5,90,1.59,43.58,3.64,13771,4204,30.53,Africa
Norway,9132,255,8752,211144,125,15,0,0,2.79,95.84,2.91,9034,98,1.08,Europe
Ethiopia,14547,228,6386,12223,7933,579,5,170,1.57,43.9,3.57,10207,4340,42.52,Africa
Congo (Kinshasa),8844,208,5700,12223,2936,13,4,190,2.35,64.45,3.65,8443,401,4.75,Africa
Greece,4227,202,1374,211144,2651,34,0,0,4.78,32.51,14.7,4012,215,5.36,Europe
Senegal,9764,194,6477,12223,3093,83,3,68,1.99,66.34,3,8948,816,9.12,Africa
Kosovo,7413,185,4027,211144,3201,496,16,274,2.5,54.32,4.59,5877,1536,26.14,Europe
Ghana,33624,168,29801,12223,3655,655,0,307,0.5,88.63,0.56,28430,5194,18.27,Africa
Australia,15303,167,9311,8249,5825,368,6,137,1.09,60.84,1.79,12428,2875,23.13,Pacific
Qatar,109597,165,106328,38339,3104,292,0,304,0.15,97.02,0.16,107037,2560,2.39,Mediterranean
Haiti,7340,158,4365,342732,2817,25,1,0,2.15,59.47,3.62,7053,287,4.07,Americas
Mauritania,6208,156,4653,12223,1399,37,0,223,2.51,74.95,3.35,5923,285,4.81,Africa
Venezuela,15988,146,9959,342732,5883,525,4,213,0.91,62.29,1.47,12334,3654,29.63,Americas
Albania,4880,144,2745,211144,1991,117,6,63,2.95,56.25,5.25,4171,709,17,Europe
Bahrain,39482,141,36110,38339,3231,351,1,421,0.36,91.46,0.39,36936,2546,6.89,Mediterranean
Zambia,4552,140,2815,12223,1597,71,1,465,3.08,61.84,4.97,3326,1226,36.86,Africa
Croatia,4881,139,3936,211144,806,24,3,70,2.85,80.64,3.53,4370,511,11.69,Europe
Malaysia,8904,124,8601,8249,179,7,0,1,1.39,96.6,1.44,8800,104,1.18,Pacific
Mali,2513,124,1913,12223,476,3,1,2,4.93,76.12,6.48,2475,38,1.54,Africa
Uzbekistan,21209,121,11674,211144,9414,678,5,569,0.57,55.04,1.04,17149,4060,23.67,Europe
Slovenia,2087,116,1733,211144,238,5,0,55,5.56,83.04,6.69,1953,134,6.86,Europe
Costa Rica,15841,115,3824,342732,11902,612,11,88,0.73,24.14,3.01,11534,4307,37.34,Americas
Luxembourg,6321,112,4825,211144,1384,49,0,178,1.77,76.33,2.32,5639,682,12.09,Europe
Nicaragua,3439,108,2492,342732,839,0,0,0,3.14,72.46,4.33,3147,292,9.28,Americas
Malawi,3664,99,1645,12223,1920,24,0,6,2.7,44.9,6.02,2992,672,22.46,Africa
Cote d'Ivoire,15655,96,10361,12223,5198,59,0,183,0.61,66.18,0.93,14312,1343,9.38,Africa
Somalia,3196,93,1543,38339,1560,18,0,22,2.91,48.28,6.03,3130,66,2.11,Mediterranean
Madagascar,9690,91,6260,12223,3339,395,6,681,0.94,64.6,1.45,7153,2537,35.47,Africa
Cuba,2532,87,2351,342732,94,37,0,2,3.44,92.85,3.7,2446,86,3.52,Americas
